40,50,120,120,2,500459,5,-28,-50,-21,40,16e5,100,1,3
40,50,120,120,2,500459,5,-28,-50,-21,40,16e5,100,1,4
40,50,120,120,2,500459,5,-28,-50,-21,40,16e5,100,1,5
40,50,120,120,2,403213,5,-28,-50,-21,40,16e5,100,1,1
40,50,120,120,2,403213,5,-28,-50,-21,40,16e5,100,1,2
40,50,120,120,2,403213,5,-28,-50,-21,40,16e5,100,1,3
40,50,120,120,2,403213,5,-28,-50,-21,40,16e5,100,1,4
40,50,120,120,2,403213,5,-28,-50,-21,40,16e5,100,1,5
40,50,120,120,2,228032,5,-28,-50,-21,40,16e5,100,1,1
40,50,120,120,2,228032,5,-28,-50,-21,40,16e5,100,1,2
40,50,120,120,2,228032,5,-28,-50,-21,40,16e5,100,1,3
40,50,120,120,2,228032,5,-28,-50,-21,40,16e5,100,1,4
40,50,120,120,2,228032,5,-28,-50,-21,40,16e5,100,1,5
